bvals,bvals_corrected,base_sigma,base_snr,base_shannon,base_euler,gauss_sigma,gauss_snr,gauss_shannon,gauss_euler,gauss_psnr,gauss_ssim,gauss_mse,lpca_sigma,lpca_snr,lpca_shannon,lpca_euler,lpca_psnr,lpca_ssim,lpca_mse,mppca_sigma,mppca_snr,mppca_shannon,mppca_euler,mppca_psnr,mppca_ssim,mppca_mse,nlm_sigma,nlm_snr,nlm_shannon,nlm_euler,nlm_psnr,nlm_ssim,nlm_mse,mrtrix_sigma,mrtrix_snr,mrtrix_shannon,mrtrix_euler,mrtrix_psnr,mrtrix_ssim,mrtrix_mse,p2s_sigma,p2s_snr,p2s_shannon,p2s_euler,p2s_psnr,p2s_ssim,p2s_mse,subject
5.0,0.0,490.4975069999999,0.5218389879929095,9.119579766936738,9.119579766936738,262.41444699999994,0.546251709780444,9.117479314028548,11.7,44.1778060433689,0.9939694207198322,41274.6541629762,466.48904999999996,0.5236187361048085,9.008288898260584,340.2,49.43380241576132,0.9984400288706322,12243.214745000001,482.51982699999996,0.5220150340297723,8.981271740399048,639.0,57.032617805696475,0.9995673709093079,2133.533333690476,454.11303499999997,0.4742924706394742,3.6421742918930375,64.4,45.377315757835916,0.9791153988087867,31234.055648690475,484.560995,0.522226232290268,19.533242142149966,1016.3,55.311784458255445,0.9993665596045898,3165.0924059853905,467.6468720000001,0.6805687183940088,9.07645678769742,2.0,41.530360104245815,0.9148029169178729,105325.48081678571,sub-45698
699.6666666666666,700.0,168.55145066666668,0.5688612982047055,8.439539927327905,8.439539927327905,84.80619893333332,0.5821222434450314,8.382550797282853,14.0,53.60036744647109,0.9986888837067788,4691.704201904762,131.56696053333334,0.5732105854889558,8.302222912791954,22.133333333333333,52.64543498804536,0.9983552068272818,5839.329387222223,140.58031773333335,0.5716433117673333,8.287654392489127,64.73333333333333,55.45055153570325,0.9991251075862734,3060.7952522222217,139.180722,0.5067934030834634,3.5078786339219223,312.8666666666667,52.491617614097414,0.993492448650453,6053.116474523809,144.41578733333333,0.571942138671875,19.53175830159439,378.6666666666667,54.12470417344571,0.9988208939558739,4153.480109048295,136.384744,0.6353430947985514,8.33949050669248,2.066666666666667,50.612757130891616,0.9937108298671006,9926.56875373016,sub-45698
1198.095238095238,1200.0,145.18211476190476,0.569902521218251,8.265752985358224,8.265752985358224,71.49793785714286,0.586648369250005,8.196921841118312,12.857142857142858,54.94539277830364,0.9989907713385694,3438.7727402494334,106.1235138095238,0.5769753496442436,8.11966878501906,6.095238095238095,53.18321391210539,0.9984970703664195,5159.749715532879,113.28198728571427,0.5751618802144844,8.111568740589298,25.714285714285715,55.428130893126706,0.9990963282029917,3076.6576999999997,118.194822,0.49072499347521664,3.3425288690833974,549.1904761904761,53.48647109480376,0.994229525558977,4811.311329931972,116.82721309523811,0.5756123151097979,19.531411559159295,277.3809523809524,54.22160568888761,0.9988121372399393,4061.7893718085447,107.5190709047619,0.6299561175837192,8.159462731548198,1.7142857142857142,51.66898834678281,0.9951833069315059,7874.600437074831,sub-45698
1497.9166666666667,1500.0,132.01000875,0.5744420864269668,8.156474922237853,8.156474922237853,63.69108910000002,0.5939027942770919,8.087526334466293,12.816666666666666,55.825039641081275,0.9991596868338121,2810.1994395039687,88.79397108333333,0.5850521207802429,8.00934552214249,5.783333333333333,53.298983740801866,0.99851101198095,5023.524596785715,96.32521395,0.5825940543126198,8.0026257239176,18.133333333333333,55.4417289845629,0.999085381000748,3066.966168273809,105.87840873333332,0.48364280559444967,3.2657721644456403,599.0166666666667,54.11506149086343,0.9948344386757563,4164.799427837302,100.23009423333335,0.5829850137233734,19.5316126505614,256.96666666666664,54.260865602009304,0.9988036831293546,4025.264115114954,90.69627458333336,0.6486706553669243,8.044212163914436,1.6666666666666667,51.90695739345427,0.9943976802114525,8333.843118591267,sub-45698
2496.4666666666667,2500.0,109.00934325333331,0.5941474597958857,7.942163052144797,7.942163052144797,50.12166457333334,0.6230607105182737,7.874308968848293,12.786666666666667,57.609084372567196,0.9994292808890439,1862.936851761905,55.782880320000004,0.6205150823510751,7.799038122080273,3.7466666666666666,53.608594250655045,0.9985742498527879,4677.723079349208,64.85713511999998,0.6150221859566004,7.792729874178439,12.293333333333333,55.592634744678335,0.9990951064172346,2962.263823857144,83.79896493333334,0.47074713936510043,3.2042883944884943,678.0933333333334,55.207156982581985,0.9957431640038445,3238.358887984127,70.26713900000004,0.6142531935373942,19.531413672726487,245.28,54.465624605090454,0.9988298610544494,3839.9444492692105,60.681812026666655,0.7643163678053022,7.803878268856476,2.026666666666667,51.848777462150686,0.9945594446232349,7473.044952047616,sub-45698
5.0,0.0,452.11795599999994,0.5316131235744799,9.132093764170016,9.132093764170016,244.81736699999996,0.559356544797605,9.115193096086987,18.2,44.834509462511605,0.9945121717270963,35274.21942714286,430.64168,0.533323230878061,9.013322317468592,259.1,50.78847749951696,0.9984845538688318,8967.315720476192,445.169492,0.5317502844683244,8.981172655744867,544.2,58.594111168810834,0.99966694076932,1519.3402813095238,421.03937800000006,0.4771406913384279,3.806019225184099,81.7,45.62414007090832,0.9796387927521918,29409.33750488095,447.26105900000005,0.5319823026657104,19.5189912587567,903.3,56.62431489054046,0.9994893110559012,2364.7235940892892,425.64638699999995,0.9852124795905801,9.096074988112909,1.9,37.84506355904151,0.79145229292801,809294.6608849999,sub-73261
699.6666666666666,700.0,147.6213273333333,0.6006653180586047,8.395465685758555,8.395465685758555,73.7570536,0.6157528105032047,8.31496267517593,21.933333333333334,54.763338143515874,0.9989608971367131,3585.919228253969,110.66080040000001,0.6066375362942398,8.235007234772233,13.2,53.36249005383488,0.9985587908957014,4951.938494603176,121.039967,0.60425882694776,8.222994502742193,54.333333333333336,56.412588261311804,0.999275622120459,2453.0611184920635,118.61129533333332,0.5317946223346207,3.6866640170841536,366.6,53.24602371267641,0.9944893272987643,5085.157639682539,124.73573540000001,0.6045675635337829,19.516466187383653,366.6,54.97295351776244,0.9989983876130597,3416.6788536852114,114.68636500000001,0.6920547135415457,8.28325446512382,2.066666666666667,50.79644638325056,0.9911496330065821,10852.764059126985,sub-73261
1197.857142857143,1200.0,125.40342676190477,0.6014571497122355,8.185840660398387,8.185840660398387,60.81642714285714,0.6208632030425555,8.098939942821639,20.761904761904763,56.25341276403742,0.999234757061218,2544.207521655329,86.35779342857143,0.6114467219456342,8.018587810978683,5.476190476190476,53.97297238150075,0.9987161906681741,4301.543527721088,94.54595547619047,0.6086992681703527,8.012411162697248,24.571428571428573,56.32050081644688,0.9992454586462446,2505.143572505669,98.43577638095238,0.512345489862768,3.473905617424014,600.8571428571429,54.32111716476496,0.9952335100795656,3969.8636145124715,97.85690557142858,0.6091857013248262,19.516926105103614,269.3333333333333,55.051717898351235,0.9989942222949866,3355.1208970843572,87.78998266666666,0.6984302769517237,8.05904682969413,1.6666666666666667,51.9780155010147,0.9934900737181597,8049.5736440476185,sub-73261
1498.0,1500.0,115.56918770000001,0.6060485682637051,8.08584218513281,8.08584218513281,55.00773233333333,0.6279426970912817,7.999440969152185,20.85,57.01001675176388,0.9993494454960609,2137.4494897619056,73.18022300000001,0.6200759623884528,7.915078755521588,11.216666666666667,54.06795313684314,0.9987298392962877,4209.938288055556,81.73424283333334,0.6164834899870585,7.911323236892227,18.3,56.353903206314165,0.9992449358961579,2486.045142043651,89.10298531666663,0.5053861759913246,3.381593848791119,633.05,54.80894015793711,0.9955902861705401,3548.1199172023817,85.40465645000003,0.6169056127468745,19.516906107780745,264.0,55.10006434498819,0.9989962454265781,3318.0279862335597,74.98694354999999,0.7542409919614304,7.9572668918357925,1.7,51.697483269281015,0.9910135112249143,9386.19993642857,sub-73261
2496.5333333333333,2500.0,95.46489036000001,0.6283732315203497,7.855836423390603,7.855836423390603,43.1298838,0.6601535679476586,7.773540015278578,21.746666666666666,58.79971870355552,0.9995618602388909,1415.5735303492065,43.883915813333324,0.6615454770034517,7.686140703950005,4.44,54.47250168837896,0.9988198218858639,3834.4754910952374,53.49901098666666,0.6544765920984442,7.684915826098055,11.306666666666667,56.499813328042315,0.999258171846657,2403.82484131746,69.28602358666669,0.49344139254280295,3.2960883807190124,620.7466666666667,55.88436206738656,0.9963800215193591,2769.8656475555567,58.394422559999995,0.653677355448405,19.516529072645373,238.38666666666666,55.33258915544052,0.999032336065582,3145.0908880234147,48.15117912,0.7653839918242241,7.692353941259835,1.7866666666666666,53.14608902654436,0.9968130022090528,5409.042692285714,sub-73261
