bvals,bvals_corrected,base_sigma,base_snr,base_shannon,base_euler,gauss_sigma,gauss_snr,gauss_shannon,gauss_euler,gauss_psnr,gauss_ssim,gauss_mse,lpca_sigma,lpca_snr,lpca_shannon,lpca_euler,lpca_psnr,lpca_ssim,lpca_mse,mppca_sigma,mppca_snr,mppca_shannon,mppca_euler,mppca_psnr,mppca_ssim,mppca_mse,nlm_sigma,nlm_snr,nlm_shannon,nlm_euler,nlm_psnr,nlm_ssim,nlm_mse,mrtrix_sigma,mrtrix_snr,mrtrix_shannon,mrtrix_euler,mrtrix_psnr,mrtrix_ssim,mrtrix_mse,p2s_sigma,p2s_snr,p2s_shannon,p2s_euler,p2s_psnr,p2s_ssim,p2s_mse
5.0,0,653.21484,0.5915847311733273,10.032299457097514,10.032299457097514,351.27014,0.6226947451154179,10.056365860934367,8,41.657006628678914,0.9911322689236379,73311.60025,626.69336,0.5933055195681084,9.9704464730252,382,48.037110660520185,0.9977333201872615,16871.834095238097,641.226,0.5919704132993885,9.941649895652173,749,54.1670369209676,0.9992558505386654,4113.103804761905,594.59955,0.5270800684558278,4.453324246891246,137,41.57730687143159,0.9547175202362017,74669.40232738096,643.95294,0.5921448469161987,19.536375921544863,1120,52.6005433113518,0.998948017752653,5899.551968689379,618.8912,0.695987274141406,9.99867677693973,2,41.839604837541486,0.9577472237798532,70293.12944880953
2510.0,2500,136.14796,0.6828136469676443,8.474211666399883,8.474211666399883,61.3098,0.723998848868524,8.419794385315484,16,55.71571655364032,0.9991218965499163,2879.398054761905,63.419155,0.7231577514840932,8.351457914361168,9,51.43018456074293,0.9976530061731531,7724.224827380953,73.85514,0.7161722249085377,8.353844351088764,12,53.1718008415472,0.9984271996962506,5172.413995238096,96.6709,0.5434117618459542,3.7133466237218844,782,52.50637321367986,0.992761711883149,6028.871688095238,81.28916,0.7136425971984863,19.533829423151975,271,52.161126952168914,0.9980199968426019,6527.707217171247,68.53054,0.8425405032346998,8.344714332259054,2,50.399736813821036,0.9956020859566681,9792.63755952381
1500.0,1500,165.32762,0.6508323623766489,8.762496860582337,8.762496860582337,79.48275,0.6778798095671595,8.714367725214222,12,53.8687644035894,0.9986969234446916,4405.517410714286,106.67613,0.666501737176859,8.6574096542461,12,51.004787969553185,0.997501353258173,8519.116657142857,115.77252,0.6632294774007194,8.65412337902051,19,53.0023573733949,0.9984128348479103,5378.2083785714285,124.95941,0.5460905283855151,3.8352926833555547,690,51.37448662740976,0.9909578093409466,7823.9253761904765,121.0377,0.6630672216415405,19.53436059751206,295,51.90213654036478,0.9979628311788149,6928.82684537846,109.62692,0.7600111139979787,8.677923742203616,2,49.67519070000246,0.9945371248564238,11570.557696428572
1205.0,1200,181.44781,0.6501270628717577,8.877190992502648,8.877190992502648,88.83828,0.6750738920605546,8.825314361908665,9,53.020001571533086,0.9984443428837935,5356.402513095238,129.91647,0.6616802392135102,8.774564305780109,27,50.88376552907032,0.9974740156222498,8759.852820238095,137.75745,0.6590649294388926,8.769429189016202,34,53.00001251766531,0.9984377594034377,5381.112980952381,139.2116,0.5557989571837806,3.961096944708316,594,50.783875371748096,0.9900804913888921,8963.669290476191,142.76045,0.6589719653129578,19.534257049357308,269,51.869810709641975,0.9979826296275724,6980.592580455794,133.7747,0.89112343703739,8.807090908223339,1,46.62398695119724,0.9771658623985081,23360.098364285714
1000.0,1000,189.5673,0.6508314333557162,8.959275107825041,8.959275107825041,93.037346,0.6712186629847389,8.9019637415293,14,52.633878067070185,0.9983209267933293,5854.442644047619,138.59004,0.6600000535858919,8.85677406695861,6,50.61087984017132,0.997324300430184,9327.932146428571,147.60191,0.6576998048080999,8.849568908042091,40,53.00007829644099,0.9984445779937463,5381.031478571428,145.4587,0.5659744444362076,4.040243214308015,505,50.44292536852744,0.9894859988678476,9695.736973809524,153.31393,0.6573988199234009,19.534279469699616,327,51.78655446078578,0.9979543661134269,7115.704692355942,143.32591,0.6614456310573409,8.881877384384541,2,49.721151956935074,0.9966077500633177,11448.752492857142
2500.0,2500,136.97653,0.6656159970683071,8.489058949025456,8.489058949025456,62.29259,0.7038578980664426,8.447163676997324,9,55.652255120034,0.9991128563971841,2921.7822761904763,66.81206,0.701314523160244,8.386025592612084,4,51.463654176302455,0.9976821482159073,7664.925616666666,77.33923,0.6945905058782607,8.383539731550979,14,53.251722643477095,0.9984598108188314,5078.09823452381,97.54471,0.5299585017608411,3.7211225581620995,685,52.531090056670834,0.9926494077538004,5994.657245238095,84.254486,0.6928397417068481,19.534084453583496,263,52.234499730812615,0.9980587488595095,6418.349899797073,73.03483,0.971872584529443,8.378212462703333,2,48.8075508231172,0.9878954929366712,14129.223011904762
1505.0,1500,167.15038,0.6544298664216045,8.762919266733515,8.762919266733515,80.02441,0.6818336733799882,8.71260304713518,12,53.791311800310936,0.9986700797418667,4484.790725,109.76561,0.6698388407571695,8.654949966466921,9,51.06633736209066,0.9975242018674488,8399.232942857143,117.96099,0.6670038349141325,8.652890311744091,18,52.94774954613267,0.9983880095786963,5446.260467857142,125.431244,0.5494650669651042,3.8573323243375395,676,51.26293814989328,0.9908045680505582,8027.485823809524,122.92814,0.6669111251831055,19.533924077646027,238,51.89243566493444,0.9979517559912945,6944.321127479897,110.65221,0.6717066783596627,8.675382112712763,1,50.44037743882913,0.9971193573016833,9701.426961904763
705.0,700,211.22627,0.6544711471189406,9.130534944399345,9.130534944399345,106.08283,0.6729974124989729,9.083598330686073,14,51.63908256180477,0.9979770729088991,7361.479484523809,163.3759,0.6608882454938775,9.032248201523414,48,50.38746989604054,0.9972855239743259,9820.336573809524,172.96051,0.6590187896021832,9.02433732580599,84,52.98316118011602,0.9984867274020325,5402.033141666667,165.37398,0.5804474037925407,4.242776960117546,426,49.69185855966634,0.9883509132658422,11526.235967857143,178.36333,0.6589610576629639,19.534792495116253,423,51.73379409314354,0.9979960010097119,7202.677223024063,170.41753,0.7103362106944255,9.054027345258195,2,48.937818877561426,0.9946566671519119,13711.705425
2500.0,2500,136.94287,0.6657422675441987,8.490721778366987,8.490721778366987,62.288246,0.7046899294887016,8.446677181729886,7,55.65714597341929,0.9991145386710977,2918.493732142857,65.61617,0.7020323920054629,8.382352934844413,3,51.44117666250732,0.9976734246253941,7704.699341666666,76.23635,0.6953076032934029,8.383352675708988,9,53.2053390667633,0.9984438432368061,5132.624061904762,97.81466,0.5295435408278036,3.715250695224762,724,52.55815715903874,0.9927345201951091,5957.412144047619,83.25746,0.6933650374412537,19.534426505146037,262,52.19839215902665,0.998043304678815,6471.934993029453,72.32425,0.9793345451256367,8.372918613444178,2,48.712335621247135,0.9875398403503785,14442.414333333334
1200.0,1200,180.87042,0.6487771540256299,8.878203354004794,8.878203354004794,87.79036,0.6716890991136041,8.824557074385883,8,53.07295121389874,0.9984593984711083,5291.493182142857,127.412346,0.659967961101992,8.77227099346577,10,50.82880604156257,0.9974270277552384,8871.412188095239,136.355,0.6574533784465062,8.767697062530928,23,52.972627800864615,0.9984206365944467,5415.151135714285,137.467,0.5558035638839331,3.9512738758907293,575,50.7376762136878,0.9898745685953769,9059.531532142857,141.51791,0.6572923064231873,19.534022011768062,310,51.819661162873636,0.9979498258034584,7061.667193147016,130.70479,1.0914377573686633,8.79886326632238,2,42.57641835419594,0.9301031025192181,59324.15034523809
